entity_a,entity_b,transaction_count
DLJ MORTGAGE CAPITAL INC,PRETIUM MORTGAGE ACQUISTION TRUST(+),2
NWL COMPANY LLC,PRETIUM MORTGAGE ACQUISTION TRUST(+),2
JP MORGAN MORTGAGE ACQUISITION CORP,PRETIUM MORTGAGE CREDIT PARTNERS 1 TRS SPONSOR LLC,2
MORTGAGE ELECTRONIC REGISTRATION SYSTEMS INC,PRETIUM MORTGAGE CREDIT PARTNERS I TRS SPONSOR LLC,2
AMH TX PROPERTIES LP,SFR JV-2 PROPERTY LLC,2
HPA TEXAS LENDING LLC(+),SFR BORROWER 2022-1 LLC,2
GP TEXAS I LLC,HPA TEXAS LENDING LLC,2
HPA TEXAS LENDING LLC,SPA BORROW 2016-1 LLC,2
HPA TEXAS LENDING LLC,SER TEXAS LLC,2
HP TEXAS I LLC,HPA TEXAS SUB 2016-1 LLC,2
HPA BORROWER 2019-2 LLC,HPA TEXAS SUB 2016-2 LLC(+),2
HPA TEXAS SUB 2016-2 ML LLC(+),SFR ACQUISITIONS 6 LLC,2
HP TEXAS I LLC,HPA TEXAS SUB 2016-2 ML LLC,2
HPA TEXAS SUB 2017-1 LLC(+),SFR ACQUISITIONS 6 LLC,2
HP TEXAS I LLC,HPA TEXAS SUB 2017-1 LLC,2
HP TEXAS I LLC,HPA TEXAS SUB 2017-1 ML LLC,2
HP TEXAS I LLC,HPA TEXAS SUB 2018-1 LLC,2
HP TEXAS I LLC,HPA TEXAS SUB 2018-MS LLC,2
HPA BORROWER 2016-1 LLC(+),SFR ACQUISITIONS 6 LLC,2
HPA BORROWER 2016-1 LLC,WILMINGTON SAVINGS FUND SOCIETY,2
HP TEXAS I LLC,HPA BORROWER 2018-1 MS LLC,2
HP TEXAS I LLC,HPA BORROWER 2020-2 ML LLC,2
HOME PARTNERS OF AMERICA 2017-1 TRUST SINGLE-FAMILY RENTAL PASS-THROUGH CERTIFICATES(+),HP TEXAS I LLC,2
HOME PARTNERS OF AMERICA A NEW PATH TO HOMEOWNERSHIP,HOME PARTNERS REALTY TEXAS LLC,2
CRP/ARGYLE GUTHRIE GP LLC(+),GUTHRIE PROPERTY OWNER LP,2
CRP/ARGYLE GUTHRIE GP LLC(+),GUTHRIE GROVE LLC,2
CERBERUS BUSINESS FINANCE LLC,COMMEMORATIVE BRANDS INC,2
CHAWLA SHANKARA LLC,REDFINNOW BORROWER LLC,2
RDFN VENTURES INC,REDFINNOW BORROWER LLC,2
NAJH PROPERTIES LLC,REDFINNOW BORROWER LLC,2
ADDISON COMMERCIAL LTD,CARMA PROPERTIES WESTPORT LLC,2
HOME OPTION CAPITAL FUND I LLC,KAISER PROPERTIES BLUE LLC,2
EHY LLC,KAISER PROPERTIES BLUE LLC,2
SFR INVESTMENTS V BORROWER 1 LLC,ZILLOW HOMES PROPERTY TRUST,2
LNV CORPORATION,STASSNEY OFFICE CONDOS LLC,2
ELLINGTON MORTGAGE PARTNERS LP,LNV CORPORATION,2
LNV CORPORATION INC,MORTGAGE ELECTRONIC REGISTRATION SYSTEMS INC,2
HPA JV BORROWER 2019-1 ATH LLC,HPA US1 TEXAS LENDING LLC,2
HPA JV TEXAS SUBD 2019-1 ATH LLC HPA JV TEXAS,HPA US1 LLC,2
HP TEXAS I LLC,HPA JV TEXAS SUBSIDIARY 2019-1 ML LLC,2
HPA US1 LLC,HPA USA1 TEXAS LENDING LLC,2
HPA II BORROWER 2021-1 LLC,HPA US1 TEXAS LENDING LLC,2
HPA II BORROWER 2020-1 LLC,HPA US1 TEXAS LENDING LLC,2
HPA II BORROWER 2020-1 ML LLC,HPA US1 TEXAS LENDING LLC,2
HPA II BORROWER 2020-1 GA LLC,HPA US1 TEXAS LENDING LLC,2
HPA II BORROWER 2019-1 LLC,HPA US1 TEXAS LENDING LLC,2
HP TEXAS I LLC,WILMINGTON TRUST,2
HP TEXAS I LLC(+),WILIMINGTON TRUST,2
HP TEXAS I LLC(+),TEAL CUSTOM HOMES LLC,2
HP TEXAS I LLC,SER TEXAS LLC,2
OHOA INC,SFR ACQUISITIONS 6 LLC,2
SFR ACQUISITIONS 6 LLC,SFR BORROWER 2021-2 LLC,2
SFR ACQUISITIONS 6 LLC,SFR BORROWER 2021-2 LLC(+),2
SFR II BORROWER 2021-3 LLC,SFR II TEXAS SUB 2021-3 LLC,2
SFR II BORROWER 2021-3 LLC,WILMINGTON TRUST,2
LENDINGHOME FUNDING CORPORATION,PURCHASING FUND 2019 - 2 LLC(+),2
ANCHOR LOANS LP,PURCHASING FUND 2019-2,2
LENDING HOME FUNDING CORPORATION,PURCHASING FUND 2019-2 LLC,2
PURCHASING FUND 2019-3,QUANTA FINANCE LLC,2
OPENDOOR PROPERTY TRUST I,ZILLOW HOMES PROPERTY TRUST(+),2
INTHRAGAMHANG 2012 TRUST,ZILLOW HOMES PROPERTY TRUST,2
ORCHARD PROPERTY II LLC,PRESIDENTIAL GLEN MASTER COMMUNITY INC,2
NATIONAL FOUNDERS LP,ORCHARD PROPERTY II LLC(+),2
HOME OPTION CAPITAL FUND I LLC,HOMEOWNERS ASSOCIATION OF WILDHORSE CREEK SUBDIVISION INC,2
GREEN TREE FINANCIAL SERVICING CORPORATION,GREEN TREE HE/HI BORROWER LLC,2
MODERN REMEDY HOMES LLC,TOORAK CAPITAL PARTNERS(+),2
EXCLUSIVE HOMES AND INVESTMENTS LLC,TOORAK CAPITAL PARTNERS(+),2
FIVE POINT REALTY MANAGEMENT LLC,TOORAK CAPITAL PARTNERS(+),2
LDWN LLC,TOORAK CAPITAL PARTNERS(+),2
HOUNDSTOOTH CAPITAL REAL ESTATE I LLC,TOORAK CAPITAL PARTNERS(+),2
DEEP IN THE HEART OF TEXAS PROPERTIES LLC,TOORAK CAPITAL PARTNERS(+),2
DAGWOOD PROJECTS LLC,TOORAK CAPITAL PARTNERS LLC,2
TOORAK CAPITAL PARTNERS LLC(+),WASSBECK PROPERTIES LLC,2
TOORAK CAPITAL PARTNERS LLC,VALIANT HOLDINGS LLC,2
MILLER HIRKO MANAGMENT LLC,TOORAK CAPITAL PARTNERS LLC,2
MIS BUILDERS LLC,TOORAK CAPITAL PARTNERS LLC,2
HILL COUNTRY HOME AND DESIGN LLC,TOORAK CAPITAL PARTNERS LLC,2
TOORAK CAPITAL PARTNERS LLC(+),TOORAK REAL ESTATE HOLDINGS V LLC,2
ARC REACTOR HOLDINGS-MARK I LLC,TOORAK CAPITAL PARTNERS LLC,2
BROFORCE INVESTMENTS LLC,TOORAK CAPITAL PARTNERS LLC,2
HOUSEVANTAGE GROUP LLC,TOORAK CAPITAL PARTNERS LLC,2
MJE HOLDINGS LLC,TOORAK CAPITAL PARTNERS LLC,2
HIS CAPITAL FUNDING CORP,TOORAK CAPITAL PARTNERS LLC,2
TOORAK CAPITAL PARTNERS LLC,TX RE OPPORTUNITY 0508 LLC,2
CREATORS IV LLC,TOORAK CAPITAL PARTNERS LLC,2
ROSEY VISION INC,TOORAK CAPITAL PARTNERS LLC(+),2
AQUILA PROPERTY PARTNERS LLC,TOORAK CAPITAL PARTNERS LLC(+),2
DIRECT FUNDING RESOURCE LLC,TOORAK CAPITAL PARTNERS LLC,2
AMPLIFIED INVESTMENT PARTNERS LLC,TOORAK CAPITAL PARTNERS LLC(+),2
TOLESOAZ CORP,TOORAK CAPITAL PARTNERS LLC,2
NORMANDY CAPITAL TRUST SERIES 2022-Q2,TOORAK CAPITAL PARTNERS LLC(+),2
TOORAK CAPITAL PARTNERS LLC,TX RE OPPORTUNITY 0629 LLC,2
GENERATIONAL REAL ESTATE WEALTH LLC,TOORAK CAPITAL PARTNERS LLC,2
ELISE EATON PROPERTIES LLC,TOORAK CAPITAL PARTNERS LLC,2
SW HOLDINGS LLC,TOORAK CAPITAL PARTNERS LLC,2
TOORAK CAPITAL PARTNERS LLC(+),US BANK TRUST,2
MWA ACQUISITIONS LLC,TOORAK CAPITAL PARTNERS LLC,2
MERCHANT FUNDING LLC,TOORAK CAPITAL PARTNERS LLC,2
MALLEN PROPERTIES LLC,TOORAK CAPITAL PARTNERS LLC,2
CHAYA HOLDINGS LLC,TOORAK CAPITAL PARTNERS LLC,2
PARK PLACE FINACE LLC,TOORAK CAPITAL PARTNERS LLC,2
SILVER HOMES LLC,TOORAK CAPITAL PARTNERS LLC,2
GLOBAL INTEGRITY FINANCE LLC,TOORAK CAPITAL PARTNERS LLC,2
PLAYA SONANDO INC,TOORAK CAPITAL PARTNERS LLC,2
KBJM INVESTMENTS LLC,TOORAK CAPITAL PARTNERS LLC,2
TOORAK CAPITAL PARTNERS LLC,TX PROPERTY 7 LLC,2
TEIFKEREALESTATE LLC,TOORAK CAPITAL PARTNERS LLC(+),2
FLIPPIN BRICKS LLC,TOORAK CAPITAL PARTNERS LLC,2
HOVER HOLDINGS LLC,TOORAK CAPITAL PARTNERS LLC(+),2
PAKYAM HUDSON LLC,TOORAK CAPITAL PARTNERS LLC,2
ROBINSROMANS LLC,TOORAK CAPITAL PARTNERS LLC,2
FAITH INVESTMENTS LLC,TOORAK CAPITAL PARTNERS LLC(+),2
CENTER STREET LENDING VIII SPE LLC,TOORAK CAPITAL PARTNERS LLC,2
EXCLUSIVE HOMES & INVESTMENTS LLC,TOORAK CAPITAL PARTNERS LLC(+),2
BUILDING DYNAMICS AND DESIGN LLC,TOORAK CAPITAL PARTNERS LLC(+),2
AUSTIN ODYSSEY 2001 LLC,TOORAK CAPITAL PARTNERS LLC,2
TOORAK CAPITAL PARTNERS LLC(+),VANTASTIC VOYAGES LLC,2
ALFAR CAM LLC,TOORAK CAPITAL PARTNERS LLC(+),2
ANIMO INVESTMENTS TEXAS LLC,TOORAK CAPITAL PARTNERS LLC(+),2
DOGTOWN BUILDERS LLC,TOORAK CAPITAL PARTNERS LLC(+),2
BIG CASTLE LLC,TOORAK CAPITAL PARTNERS LLC(+),2
BIG CASTLE PROPERTIES LLC,TOORAK CAPITAL PARTNERS LLC(+),2
MARELI PROPERTIES LLC,TOORAK CAPITAL PARTNERS LLC(+),2
HAMMER HOMES LLC,TOORAK CAPITAL PARTNERS LLC,2
COASTAL COLLECTWE DEVELOPMENT LP,TOORAK CAPITAL PARTNERS LLC,2
FLATIRON REALTY CAPITAL LLC,TOORAK CAPITAL PARTNERS LLC,2
GHAP LLC,TOORAK CAPITAL PARTNERS LLC(+),2
DREAM PROPERTIES LLC,TOORAK CAPITAL PARTNERS LLC,2
PATCH OF LAND LENDING LLC,TOORAK CAPITAL PARTNERS LLC,2
COASTAL COLLECTIVE DEVELOPMENT LP,TOORAK CAPITAL PARTNERS LLC(+),2
COASTAL COLLECTIVE DEVELOPMENT LP,TOORAK CAPITAL PARTNERS LLC,2
HUERTA & SACHS HOMES LLC,TOORAK CAPITAL PARTNERS LLC(+),2
JESE REAL ESTATE LLC,TOORAK CAPITAL PARTNERS LLC(+),2
ALOHA CAPITAL LLC,TOORAK CAPITAL PARTNERS LLC,2
FIRST AMERICAN TITLE INSURANCE CO,LENDINGHOME FUNDING CORP,2
DAISY GILBERT INVESTMENTS LLC,LENDINGHOME FUNDING CORPORATION,2
LENDINGHOME FUNDING CORPORATION,ROSENBERG LLC,2
LENDINGHOME FUNDING CORPORATION,PROPEL ONE INVESTMENTS LLC,2
B1-66ER LLC,LENDINGHOME FUNDING CORPORATION(+),2
CAPRIS CRIBS LLC,LENDINGHOME FUNDING CORPORATION,2
AEL PROPERTIES LLC,LENDINGHOME FUNDING CORPORATION,2
GUANABANA BAY LLC,LENDINGHOME FUNDING CORPORATION(+),2
DA VINCI PROPTECH LLC,LENDINGHOME FUNDING CORPORATION,2
CASH HOUSE BUYERS USA LLC,LENDINGHOME FUNDING CORPORATION,2
B1-66ER LLC,LENDINGHOME FUNDING CORPORATION,2
LENDINGHOME FUNDING CORPORATION,TUSKER DEVELOPMENT LLC,2
LENDINGHOME FUNDING CORPORATION,PURCHASING FUND 2019 - 2 LLC,2
BUYING SOLUTIONS GROUP INC,LENDINGHOME FUNDING CORPORATION,2
ADAP VENTURES LLC,KIAVI FUNDING INC,2
KIAVI FUNDING INC,NRHQ LLC,2
47 FLIPS LLC,KIAVI FUNDING INC,2
200X PROPERTIES LLC,KIAVI FUNDING INC,2
KIAVI FUNDING INC,SAWTELLE CONSTRUCTION LLC,2
GALLO FINO FILMS LLC,KIAVI FUNDING INC,2
FRESH REMODELS LLC - FRESH TX 2 SERIES,KIAVI FUNDING INC,2
KIAVI FUNDING INC,MAINSTAY INVESTMENT GROUP LLC,2
KIAVI FUNDING INC,TMTJ GROUP LLC,2
IA HOMES CUSTOM CONTRACTING AND INTERIOR DESIGN LLC,KIAVI FUNDING INC,2
CLHG ENTERPRISES LLC,KIAVI FUNDING INC,2
ABBOTT INVESTMENT MANAGEMENT LLC,KIAVI FUNDING INC,2
IA HOMES LLC,KIAVI FUNDING INC,2
KIAVI FUNDING INC,LA VIDA LUX LLC,2
KIAVI FUNDING INC,ZEN24 BUSINESS GROUP LLC,2
EIGHTYPLUS PROPERTY GROUP LLC,KIAVI FUNDING INC,2
FIVE STAR INVESTMENT GROUP LLC,KIAVI FUNDING INC,2
ASTON REAL ESTATE LLC,KIAVI FUNDING INC,2
HISBROOK REAL ESTATE LLC,KIAVI FUNDING INC,2
JN VENTURES GROUP LLC,KIAVI FUNDING INC,2
KIAVI FUNDING INC,READY FRONT CONTRACTORS LLC,2
CJ HOME INVESTORS LLC,KIAVI FUNDING INC,2
KIAVI FUNDING INC,THIRTEEN ASSETS LLC,2
DEMARTINI PROPERTIES LLC,KIAVI FUNDING INC,2
EAGLE G C INC,KIAVI FUNDING INC,2
KIAVI FUNDING INC,RESTORE & REVIVE TX LLC,2
KIAVI FUNDING INC,STANDARD RE HOLDINGS LLC,2
KIAVI FUNDING INC,TEXAS CAPITOL LLC,2
22412 ROCK WREN LLC,KIAVI FUNDING INC,2
KIAVI FUNDING INC(+),RICHMOND LAMBETH LLC - SERIES 5203 BOGEY,2
BHATNAGAR PROPERTIZ LLC,KIAVI FUNDING INC(+),2
KIAVI FUNDING INC,NEWTON VIBE HOLDINGS LLC,2
KIAVI FUNDING INC,TRIDENT REAL ESTATE HOLDINGS LLC,2
KIAVI FUNDING INC,RICHMOND LAMBETH LLC,2
KIAVI FUNDING INC(+),RICHMOND LAMBETH LLC - SERIES WESTGATE TWO,2
TAYTON INVESTMENTS LLC,TUSKER CAPITAL FUND LLC(+),2
AVNA LLC,TUSKER CAPITAL FUND LLC,2
JANNETTA HOME LLC,TUSKER CAPITAL FUND LLC,2
TRIPLE 8 HOLDINGS LLC,TUSKER CAPITAL FUND LLC,2
AVA'S ELEGANT HOMES LLC,TUSKER CAPITAL FUND LLC(+),2
GENESIS CAPITAL ADVISORS LLC(+),SCOFIELD RANCH APARTMENT HOMES LP,2
GENESIS CAPITAL LLC,OGH WEST CAMPUS PARTNERS LP,2
GENESIS CAPITAL LLC,TRIDENT REAL ESTATE HOLDINGS LLC,2
GENESIS CAPITAL LLC,RCG REAL ORCHARD-MASONWOOD LLC,2
2602 HUME PLACE LLC,GENESIS CAPITAL LLC,2
GENESIS CAPITAL LLC(+),NRZ REO XVI LLC,2
GENESIS CAPITAL LLC,STP TX 10109 FM 969 LLC,2
ANH VAL BUILDERS LLC,GENESIS CAPITAL LLC,2
AVROMERIA LLC,GENESIS CAPITAL LLC,2
GENESIS CAPITAL LLC,VANTAGE HOMES LLC,2
AMNE AUSTIN REALTY LLC -SERIES F,GENESIS CAPITAL MASTER FUND II LLC,2
AMNE AUSTIN REALTY LLC-SERIES C,GENESIS CAPITAL MASTER FUND II LLC,2
AMNE AUSTIN REALTY LLC -SERIES D,GENESIS CAPITAL MASTER FUND II LLC,2
GENESIS CAPITAL PARTNERS XIV LTD(+),SCOFIELD RANCH APARTMENT HOMES LP,2
GENESIS CAPITAL PARTNERS XIV LTD,SCOFIELD RANCH APARTMENTS HOMES LP,2
BRODIE LANE APARTMENT HOMES LP,GENESIS CAPITAL PARTNERS XV LTD,2
AUSTIN ECLECTIC DEVELOPERS LLC,HOUSEMAX FUNDING FUND I LLC,2
HOUSEMAX FUNDING FUND I LLC,PRECISE PROPERTIES LLC,2
HOUSEMAX FUNDING FUND I LLC,ROMA TEXAS HOLDINGS LLC,2
2318 EUCLID LLC,HOUSEMAX FUNDING FUND I LLC,2
ENABLE CAPITAL LLC,HOUSEMAX FUNDING FUND I LLC,2
FALCON GREEN ENERGY LLC,HOUSEMAX FUNDING FUND I LLC,2
HOUSEMAX FUNDING FUND I LLC,OPEN BOOK REAL ESTATE LLC,2
BC PARTNERS LLC,HOUSEMAX FUNDING FUND I LLC,2
6020 SPRINGDALE HOLDINGS,HOUSEMAX FUNDING FUND I LLC,2
HOUSEMAX FUNDING FUND I LLC,REDWOOD BPL HOLDINGS 2 INC,2
PARK PLACE FINANCE LLC,SANDERMEYER HOUSTON HOLDING LLC,2
IWGH HOLDINGS LLC,PARK PLACE FINANCE LLC,2
NEW EDGE RENOVATION INC,PARK PLACE FINANCE LLC,2
MATCH DEVELOPMENT LLC,PARK PLACE FINANCE LLC,2
PARK PLACE FINANCE LLC,ZESTNEST INVESTMENTS LLC,2
MAMUHEWA HOLDINGS LLC,PARK PLACE FINANCE LLC,2
PARK PLACE FINANCE LLC,TEXCAL HOMES LLC,2
PARK PLACE FINANCE LLC,REVIVE ATX LLC,2
AUSTIN INFILL BUILDERS LLC,PARK PLACE FINANCE LLC,2
PARK PLACE FINANCE LLC,WALBROOK AUSTIN LLC,2
HOVER HOLDINGS LLC,PARK PLACE FINANCE LLC,2
AVVATI LLC,PARK PLACE FINANCE LLC,2
EBERT NEXT DOOR LLC,PARK PLACE FINANCE LLC,2
LEGACY AT 55TH LLC,PARK PLACE FINANCE LLC,2
PARK PLACE FINANCE LLC,TX PROPERTY 7 LLC,2
PARK PLACE FINANCE LLC,RIDGEHAVEN DRIVE LLC,2
4803 SANTA ANNA LLC,PARK PLACE FINANCE LLC,2
LITTLE ROCK BUILDERS INC,PARK PLACE FINANCE LLC,2
PARK PLACE FINANCE LLC,TX RE OPPORTUNITY 1212 LLC,2
PARK PLACE FINANCE LLC,TX RE OPPORTUNITY 1215 LLC,2
PARK PLACE FINANCE LLC,SILVER HOMES LLC,2
KENNEDY RESIDENTIAL LLC,PARK PLACE FINANCE LLC,2
PATCH OF LAND LENDING LLC(+),TOORAK REPO SELLER I TRUST,2
RCN CAPITAL LLC,TEXAS CAPITOL LLC,2
RCN CAPITAL LLC,SOLTANI SYNDICATE GROUP LLC,2
GUARDIAN RESIDENTIAL INCOME FUND I LP,RCN CAPITAL LLC,2
201710WY-01 LLC,RCN CAPITAL LLC,2
MARBEL VENTURES LLC,RCN CAPITAL LLC,2
CALCAP LENDING LLC(+),DV CAPITAL DEVELOPMENT LLC,2
ANCHOR ASSETS IV LLC,ANCHOR LOANS LP(+),2
ANCHOR LOANS LP(+),WILMINGTON SAVINGS FUND SOCIETY,2
4315 CITY PARK LLC,ANCHOR LOANS LP,2
ANCHOR LOANS LP,AVERY CONSTRUCTION LLC,2
A NEW HOPE INVESTMENTS LLC,ANCHOR LOANS LP,2
5702 TURA LLC,ANCHOR LOANS LP,2
ANCHOR LOANS LP,HL3 ALPHA LLC,2
ANCHOR LOANS LP,VALTEX II LLC,2
ANCHOR LOANS LP,ARK HOME 12 LLC,2
ANCHOR LOANS LP,ARK HOME 10 LLC,2
ANCHOR LOANS LP,ARK HOME 6 LLC,2
ANCHOR LOANS LP,ARK HOME 7 LLC,2
ANCHOR LOANS LP,ARK HOME 3 LLC,2
ANCHOR LOANS LP,DOOR DEVELOPMENT GOLD LLC,2
ANCHOR LOANS LP,WOLFE CAPITAL INVESTMENTS LLC,2
ANCHOR ASSETS XI LLC,ANCHOR LOANS LP,2
ANCHOR LOANS LP,HR SFR TX LLC,2
ANCHOR FUND LLC,ANCHOR LOANS LP,2
ANCHOR LOANS LP,CA PACIFIC HOLDINGS LLC,2
ANCHOR LOANS LP,TEXAS CAPITOL LLC,2
ANCHOR ASSETS IX HOLDCO LLC,ANCHOR LOANS LP,2
7075 TX LLC,ANCHOR LOANS LP,2
ANCHOR LOANS LP(+),SOMA CAPITAL PROPERTIES LLC,2
DOMINION FINANCIAL SERVICES LLC,EN VOGUE BUILDER LLC,2
DOMINION FINANCIAL SERVICES LLC,ENVOGUE BUILDER LLC,2
BAYES LLC,DOMINION FINANCIAL SERVICES LLC,2
GENERATIONAL REAL ESTATE WEALTH LLC,MERCHANTS FUNDING LLC,2
EXCLUSIVE HOMES AND INVESTMENTS LLC,MERCHANTS FUNDING LLC,2
ALAMO CITY FINANCIAL LLC,MERCHANTS FUNDING LLC,2
FIXIN TO BUY LLC,MERCHANTS FUNDING LLC,2
FTREI-1206 NORTH LLC,MERCHANTS FUNDING LLC,2
K2LS GROUP LLC,MERCHANTS FUNDING LLC,2
MERCHANTS FUNDING LLC(+),TOORAK REPO SELLER I TRUST LLC,2
MERCHANTS FUNDING LLC,ROCK GARDEN INVESTMENTS LLC,2
AUSTEX HOUSING SOLUTIONS LLC,MERCHANTS FUNDING LLC,2
MACDEN GP LLC,MERCHANTS FUNDING LLC,2
HQR INVESTMENTS LLC-SERIES 4503 GLADE LINE,MERCHANTS FUNDING LLC,2
AMH 2014-1 BORROWER LLC,WILMINGTON SAVINGS FUND SOCIETY,1
AMH 2014-2 BORROOWER GP LLC(+),AMH TX PROPERTIES LP,1
AMERICAN HOMES 4 RENT TRS LLC,AMH 2014-2 BORROWER GP LLC(+),1
AMERICAN HOMES 4 RENT PROPERTIES EIGHT LLC,AMH 2014-2 BORROWER GP LLC(+),1
AMH 2014-2 BORROWER LLC(+),AMH TX PROPERTIES LP,1
AMH 2014-2 BORROWER LLC,CHRISTIANA TRUST,1
AMH 2014-2 BORROWER LLC(+),WILMINGTON SAVINGS FUND SOCIETY,1
AMH 2014-2 BORROWER LP,WILMINGTON SAVINGS FUND SOCIETY,1
AMH 2014-2 BROOROWER LLC,WILMINGTON SAVINGS FUND SOCIETY,1
AMH 2015-1 BORROWER LLC,WILMINGTON SAVINDS FUND SOCIETY,1
AMH 2015-1 BORROWER LLC,GOLDMAN SACHS MORTGAGE COMPANY,1
AH4R PROPERTIES TWO LLC,AMH TX PROPERTIES LP(+),1
AMH TX PROPERTIES LP(+),BELONG AUTOMOTIVE TECHNOLOGY LLC,1
AMH TX PROPERTIES LP(+),CTX RENOVATE LLC,1
AMERICAN HOMES 4 RENT TRS LLC,AMH TX PROPERTIES LP(+),1
AMH TX PROPERTIES LP(+),NGR PROPERTIES LLC,1
AMH TX PROPERTIES LP(+),KENSINGTON PEAVY LLC,1
AMH TX PROPERTIES LP(+),QC AUSTIN REI LLC,1
AMH TX PROPERTIES LP,SPRINGBROOK OWNERS ASSOCIATION INC,1
AMH ROMAN TWO TX LLC,AMH TX PROPERTIES LP(+),1
ADDISON MASTER COMMUNITY INC,AMH ADDISON DEVELOPMENT LLC,1
GOLDMAN SACHS MORTGAGE COMPANY,PROGRESS RESIDENTIAL 2021-SFR10 TRUST(+),1
GOLDMAN SACHS MORTGAGE COMPANY,PROGRESS RESIDENTIAL 2022-SFR7 TRUST SINGLE-FAMILY RENTAL PASS-THROUGH CERTIFICATES(+),1
